last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Dozier, Brian,572821,429,17.8,31.0,104.8,86.7,91.6,82.6,409,179,379,122,28.4,27,6.3,4.3
Smith, Mallex,605480,391,2.6,32.5,104.7,84.1,89.0,80.4,412,143,393,89,22.8,6,1.5,1.1
Gordon, Dee,543829,490,3.5,30.4,104.7,80.6,85.2,78.3,388,129,365,62,12.7,1,0.2,0.2
McCann, Brian,435263,151,23.1,36.4,104.5,86.0,89.3,84.0,410,192,389,39,25.8,5,3.3,2.3
Davis, Rajai,434658,153,9.3,31.4,104.4,82.6,87.3,79.6,397,148,352,41,26.8,2,1.3,0.9
Jankowski, Travis,608671,276,1.9,28.3,104.3,83.6,85.9,82.8,415,119,385,54,19.6,2,0.7,0.5
Difo, Wilmer,594694,333,11.8,34.5,104.3,82.1,87.0,78.2,403,156,380,63,18.9,8,2.4,1.8
Rickard, Joey,572073,158,17.4,35.4,104.1,84.5,90.2,79.0,410,184,389,32,20.3,6,3.8,2.6
Fletcher, David,664058,255,12.8,36.1,103.7,83.3,85.5,83.5,393,163,393,52,20.4,1,0.4,0.3
Wolters, Tony,547172,151,5.0,24.5,103.4,84.3,88.4,83.3,418,132,396,32,21.2,5,3.3,2.3
Narvaez, Omar,553882,217,13.0,43.8,102.5,85.1,89.4,81.4,407,173,380,53,24.4,6,2.8,1.9
Hamilton, Billy,571740,376,14.3,36.7,101.9,79.3,83.0,76.2,392,159,375,32,8.5,2,0.5,0.4
Kemp, Tony,643393,215,10.8,34.4,100.2,82.6,88.7,77.2,396,160,361,38,17.7,1,0.5,0.3
